Date,bitcoin,btc,cryptocurrency
03-03-2015,"32,097","6,984",0
03-04-2015,"29,233","5,961",0
03-05-2015,"31,168","5,884",0
03-06-2015,"35,717","5,345",0
03-07-2015,"24,798","4,862",0
03-08-2015,"22,951","4,717",0
03-09-2015,"29,266","5,304",0
03-10-2015,"34,252","5,695",0
03-11-2015,"35,100","6,528",0
03-12-2015,"34,658","5,187",0
3-13-2015,"33,435","5,086",0
3-14-2015,"27,743","4,788",0
3-15-2015,"28,096","4,926",0
3-16-2015,"31,220","5,049",0
3-17-2015,"42,188","6,360",0
3-18-2015,"33,958","6,776",0
3-19-2015,"37,117","6,917",0
3-20-2015,"30,131","5,077",0
3-21-2015,"25,835","4,389",0
3-22-2015,"28,913","4,378",0
3-23-2015,"39,948","4,674",0
3-24-2015,"35,523","5,280",0
3-25-2015,"37,685","4,793",0
3-26-2015,"39,542","4,465",0
3-27-2015,"38,562","4,697",0
3-28-2015,"31,445","4,056",0
3-29-2015,"33,413","4,616",0
3-30-2015,"45,121","5,402",0
3-31-2015,"40,801","5,829",0
04-01-2015,"41,856","6,103",0
04-02-2015,"34,869","6,261",0
04-03-2015,"35,599","4,745",0
04-04-2015,"30,698","4,325",0
04-05-2015,"31,340","4,811",0
04-06-2015,"36,529","4,725",0
04-07-2015,"37,413","5,121",0
04-08-2015,"35,933","5,207",0
04-09-2015,"34,394","5,639",0
04-10-2015,"35,208","5,775",0
04-11-2015,"28,929","4,786",0
04-12-2015,"26,637","4,650",0
4-13-2015,"35,500","5,282",0
4-14-2015,"37,301","5,237",0
4-15-2015,"34,931","5,228",0
4-16-2015,"34,328","4,839",0
4-17-2015,"33,627","4,683",0
4-18-2015,"27,262","4,306",0
4-19-2015,"27,825","4,377",0
4-20-2015,"33,657","4,694",0
4-21-2015,"37,175","6,257",0
4-22-2015,"35,572","5,357",0
4-23-2015,"34,911","4,629",0
4-24-2015,"33,309","4,407",0
4-25-2015,"27,466","4,342",0
4-26-2015,"29,666","4,453",0
4-27-2015,"40,998","5,261",0
4-28-2015,"33,984","5,959",0
4-29-2015,"34,519","4,935",0
4-30-2015,"39,510","4,824",0
05-01-2015,"32,051","4,966",0
05-02-2015,"26,799","4,670",0
05-03-2015,"27,786","4,751",0
05-04-2015,"32,104","4,585",0
05-05-2015,"31,562","5,098",0
05-06-2015,"32,985","5,317",0
05-07-2015,"32,758","4,875",0
05-08-2015,"31,337","5,359",0
05-09-2015,"26,123","5,021",0
05-10-2015,"23,678","3,801",0
05-11-2015,"33,169","4,307",0
05-12-2015,"30,268","4,153",0
5-13-2015,"28,033","4,626",0
5-14-2015,"27,329","5,353",0
5-15-2015,"30,487","4,590",0
5-16-2015,"24,923","4,296",0
5-17-2015,"24,078","3,862",0
5-18-2015,"31,941","4,467",0
5-19-2015,"37,577","5,173",0
5-20-2015,"31,832","5,321",0
5-21-2015,"30,761","4,662",0
5-22-2015,"31,372","5,264",0
5-23-2015,"25,577","5,609",0
5-24-2015,"24,248","5,535",0
5-25-2015,"29,100","5,468",0
5-26-2015,"32,548","4,873",0
5-27-2015,"29,880","4,818",0
5-28-2015,"27,312","5,468",0
5-29-2015,"30,230","5,060",0
5-30-2015,"26,500","4,471",0
5-31-2015,"26,503","4,403",0
06-01-2015,"31,601","5,109",0
06-02-2015,"31,036","5,920",0
06-03-2015,"38,619","4,648",0
06-04-2015,"62,139","4,748",0
06-05-2015,"31,931","4,810",0
06-06-2015,"22,987","4,269",0
06-07-2015,"23,494","4,206",0
06-08-2015,"33,794","4,778",0
06-09-2015,"30,793","5,266",0
06-10-2015,"30,673","5,220",0
06-11-2015,"30,828","4,962",0
06-12-2015,"28,712","4,485",0
6-13-2015,"24,171","4,562",0
6-14-2015,"24,381","4,994",0
6-15-2015,"31,784","4,738",0
6-16-2015,"36,665","5,344",0
6-17-2015,"33,752","5,310",0
6-18-2015,"33,873","5,217",0
6-19-2015,"31,972","5,349",0
6-20-2015,"25,711","4,490",0
6-21-2015,"24,980","4,403",0
6-22-2015,"30,830","4,779",0
6-23-2015,"31,993","4,946",0
6-24-2015,"31,547","4,696",0
6-25-2015,"29,577","4,820",0
6-26-2015,"26,513","4,681",0
6-27-2015,"23,653","4,821",0
6-28-2015,"26,126","5,099",0
6-29-2015,"36,420","5,424",0
6-30-2015,"37,846","5,465",0
07-01-2015,"34,045","5,279",0
07-02-2015,"34,731","5,445",0
07-03-2015,"31,883","5,127",0
07-04-2015,"28,378","4,895",0
07-05-2015,"29,753","5,680",0
07-06-2015,"36,830","6,951",0
07-07-2015,"37,048","5,933",0
07-08-2015,"37,921","6,418",0
07-09-2015,"35,940","6,181",0
07-10-2015,"36,460","6,660",0
07-11-2015,"27,504","5,340",0
07-12-2015,"30,530","5,667",0
7-13-2015,"36,923","6,207",0
7-14-2015,"39,662","5,760",0
7-15-2015,"42,089","5,518",0
7-16-2015,"43,080","5,304",0
7-17-2015,"37,801","5,034",0
7-18-2015,"30,278","4,702",0
7-19-2015,"27,507","4,507",0
7-20-2015,"35,805","5,436",0
7-21-2015,"37,564","5,438",0
7-22-2015,"34,116","5,886",0
7-23-2015,"34,751","4,388",0
7-24-2015,"38,053","4,156",0
7-25-2015,"25,853","3,618",0
7-26-2015,"27,751","3,773",0
7-27-2015,"33,510","4,918",0
7-28-2015,"33,475","4,684",0
7-29-2015,"31,784","4,295",0
7-30-2015,"31,543","4,470",0
7-31-2015,"32,586","5,742",0
08-01-2015,"39,907","4,761",0
08-02-2015,"26,083","4,013",0
08-03-2015,"35,156","5,482",0
08-04-2015,"36,616","6,596",0
08-05-2015,"36,993","6,239",0
08-06-2015,"34,846","6,269",0
08-07-2015,"35,441","7,692",0
08-08-2015,"26,661","6,220",0
08-09-2015,"27,912","6,016",0
08-10-2015,"32,418","6,248",0
08-11-2015,"30,939","7,086",0
08-12-2015,"31,396","6,488",0
8-13-2015,"33,789","6,221",0
8-14-2015,"34,500","6,742",0
8-15-2015,"30,264","6,282",0
8-16-2015,"29,294","6,447",0
8-17-2015,"34,463","6,763",0
8-18-2015,"35,530","6,755",0
8-19-2015,"37,344","7,287",0
8-20-2015,"35,931","6,134",0
8-21-2015,"36,370","5,875",0
8-22-2015,"31,535","6,217",0
8-23-2015,"31,794","6,451",0
8-24-2015,"39,386","7,253",0
8-25-2015,"38,656","6,934",0
8-26-2015,"38,369","6,743",0
8-27-2015,"38,169","6,540",0
8-28-2015,"39,707","6,599",0
8-29-2015,"33,829","6,069",0
8-30-2015,"33,651","6,103",0
8-31-2015,"40,929","6,438",0
09-01-2015,"42,066","6,766",0
09-02-2015,"41,239","6,342",0
09-03-2015,"40,220","6,554",0
09-04-2015,"36,877","6,472",0
09-05-2015,"29,584","6,329",0
09-06-2015,"29,841","5,607",0
09-07-2015,"34,971","6,610",0
09-08-2015,"39,100","6,603",0
09-09-2015,"34,702","4,640",0
09-10-2015,"38,315","4,580",0
09-11-2015,"39,327","4,361",0
09-12-2015,"31,169","4,289",0
9-13-2015,"29,566","4,177",0
9-14-2015,"39,851","4,144",0
9-15-2015,"38,491","4,587",0
9-16-2015,"41,172","4,720",0
9-17-2015,"37,781","5,408",0
9-18-2015,"40,904","6,212",0
9-19-2015,"33,101","6,052",0
9-20-2015,"32,871","6,091",0
9-21-2015,"48,961","6,982",0
9-22-2015,"48,646","7,046",0
9-23-2015,"40,095","7,068",0
9-24-2015,"38,459","6,389",0
9-25-2015,"36,858","6,652",0
9-26-2015,"30,679","5,643",0
9-27-2015,"29,858","5,765",0
9-28-2015,"34,702","6,359",0
9-29-2015,"34,911","6,394",0
9-30-2015,"35,243","6,125",0
10-01-2015,"32,898","6,253",0
10-02-2015,"31,394","6,261",0
10-03-2015,"26,510","5,902",0
10-04-2015,"28,117","5,254",0
10-05-2015,"34,858","5,528",0
10-06-2015,"37,232","5,637",0
10-07-2015,"33,794","5,850",0
10-08-2015,"33,098","6,241",0
10-09-2015,"30,780","5,672",0
10-10-2015,"25,869","4,840",0
10-11-2015,"26,967","4,844",0
10-12-2015,"31,220","5,093",0
10-13-2015,"32,498","5,016",0
10-14-2015,"33,219","4,976",0
10-15-2015,"36,064","5,544",0
10-16-2015,"36,302","4,987",0
10-17-2015,"29,122","4,179",0
10-18-2015,"28,360","4,045",0
10-19-2015,"33,780","5,087",0
10-20-2015,"36,027","4,789",0
10-21-2015,"37,624","4,722",0
10-22-2015,"45,677","5,124",0
10-23-2015,"36,196","4,689",0
10-24-2015,"33,574","5,057",0
10-25-2015,"33,367","4,671",0
10-26-2015,"37,734","5,127",0
10-27-2015,"37,927","5,180",0
10-28-2015,"39,484","5,773",0
10-29-2015,"40,770","5,704",0
10-30-2015,"40,483","6,230",0
10-31-2015,"38,064","6,950",0
11-01-2015,"34,138","7,461",0
11-02-2015,"41,338","11,658",0
11-03-2015,"50,955","13,760",0
11-04-2015,"62,998","16,810",0
11-05-2015,"59,356","14,353",0
11-06-2015,"47,903","11,644",0
11-07-2015,"38,302","11,595",0
11-08-2015,"40,663","11,307",0
11-09-2015,"48,902","11,362",0
11-10-2015,"50,511","10,229",0
11-11-2015,"46,685","7,370",0
11-12-2015,"44,276","9,145",0
11-13-2015,"46,377","7,127",0
11-14-2015,"32,974","6,508",0
11-15-2015,"36,022","9,300",0
11-16-2015,"41,580","8,609",0
11-17-2015,"41,500","7,432",0
11-18-2015,"43,917","6,622",0
11-19-2015,"38,513","8,904",0
11-20-2015,"42,205","8,194",0
11-21-2015,"30,792","6,567",0
11-22-2015,"23,724","4,873",0
11-23-2015,"29,440","6,090",0
11-24-2015,"27,501","8,645",0
11-25-2015,"31,429","8,429",0
11-26-2015,"30,865","6,952",0
11-27-2015,"28,529","5,649",0
11-28-2015,"26,320","5,013",0
11-29-2015,"26,015","4,701",0
11-30-2015,"32,208","5,493",0
12-01-2015,"31,543","5,545",0
12-02-2015,"30,134","5,451",0
12-03-2015,"29,895","6,030",0
12-04-2015,"28,398","7,744",0
12-05-2015,"27,707","7,454",0
12-06-2015,"29,908","7,227",0
12-07-2015,"34,580","7,535",0
12-08-2015,"36,442","7,298",0
12-09-2015,"77,018","8,624",0
12-10-2015,"44,925","8,571",0
12-11-2015,"38,915","9,287",0
12-12-2015,"31,003","8,749",0
12-13-2015,"28,776","9,902",0
12-14-2015,"38,376","10,170",0
12-15-2015,"40,318","8,796",0
12-16-2015,"37,049","8,713",0
12-17-2015,"32,135","8,353",0
12-18-2015,"31,883","8,677",0
12-19-2015,"27,272","8,134",0
12-20-2015,"26,593","8,295",0
12-21-2015,"31,423","9,022",0
12-22-2015,"31,462","8,997",0
12-23-2015,"29,917","8,020",0
12-24-2015,"27,143","7,452",0
12-25-2015,"24,247","7,462",0
12-26-2015,"25,044","8,318",0
12-27-2015,"28,827","7,992",0
12-28-2015,"33,651","8,174",0
12-29-2015,"30,107","8,320",0
12-30-2015,"37,645","8,632",0
12-31-2015,"32,972","8,723",0
01-01-2016,"27,024","6,891",0
01-02-2016,"27,528","7,880",0
01-03-2016,"26,921","8,270",0
